index,split,unknown_class,cifar10_predicted_class,score,threshold,margin,failure_category,explanation
726,near,pickup_truck,automobile,-10.7383,-5.2929,5.4453,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
340,near,pickup_truck,automobile,-10.6828,-5.2929,5.3898,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
785,near,fox,deer,-10.6407,-5.2929,5.3478,Surprising Failure,"Class 'fox' is visually distant from CIFAR-10 'deer', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
277,near,fox,cat,-10.6402,-5.2929,5.3473,Semantically Plausible,"Class 'fox' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
694,near,wolf,dog,-10.6348,-5.2929,5.3419,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'dog', causing the closed-set classifier to absorb the unknown with high logit response."
363,near,pickup_truck,automobile,-10.6183,-5.2929,5.3253,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
613,near,pickup_truck,automobile,-10.6067,-5.2929,5.3137,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
232,near,leopard,cat,-10.6051,-5.2929,5.3122,Semantically Plausible,"Class 'leopard' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
201,near,pickup_truck,automobile,-10.5612,-5.2929,5.2683,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
766,near,leopard,frog,-10.4725,-5.2929,5.1796,Surprising Failure,"Class 'leopard' is visually distant from CIFAR-10 'frog', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
378,near,pickup_truck,automobile,-10.4627,-5.2929,5.1697,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
248,near,motorcycle,automobile,-10.4129,-5.2929,5.12,Semantically Plausible,"Class 'motorcycle' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
332,near,camel,dog,-10.3872,-5.2929,5.0943,Surprising Failure,"Class 'camel' is visually distant from CIFAR-10 'dog', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
446,near,motorcycle,automobile,-10.3371,-5.2929,5.0442,Semantically Plausible,"Class 'motorcycle' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
535,near,tractor,truck,-10.325,-5.2929,5.032,Semantically Plausible,"Class 'tractor' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
662,near,tractor,truck,-10.3192,-5.2929,5.0262,Semantically Plausible,"Class 'tractor' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
126,near,camel,deer,-10.2647,-5.2929,4.9718,Semantically Plausible,"Class 'camel' shares strong visual/semantic features with CIFAR-10 'deer', causing the closed-set classifier to absorb the unknown with high logit response."
762,near,fox,cat,-10.2636,-5.2929,4.9706,Semantically Plausible,"Class 'fox' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
755,near,pickup_truck,automobile,-10.2519,-5.2929,4.9589,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
273,near,wolf,dog,-10.2444,-5.2929,4.9514,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'dog', causing the closed-set classifier to absorb the unknown with high logit response."
322,near,pickup_truck,truck,-10.2011,-5.2929,4.9081,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
705,near,leopard,frog,-10.1902,-5.2929,4.8973,Surprising Failure,"Class 'leopard' is visually distant from CIFAR-10 'frog', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
103,near,tractor,truck,-10.1725,-5.2929,4.8796,Semantically Plausible,"Class 'tractor' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
551,near,wolf,cat,-10.1532,-5.2929,4.8603,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
167,near,tractor,truck,-10.1235,-5.2929,4.8305,Semantically Plausible,"Class 'tractor' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
290,near,tractor,truck,-10.0568,-5.2929,4.7639,Semantically Plausible,"Class 'tractor' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
360,near,fox,deer,-9.9532,-5.2929,4.6603,Surprising Failure,"Class 'fox' is visually distant from CIFAR-10 'deer', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
268,near,pickup_truck,truck,-9.9057,-5.2929,4.6127,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
112,near,fox,cat,-9.9053,-5.2929,4.6124,Semantically Plausible,"Class 'fox' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
92,near,fox,deer,-9.8884,-5.2929,4.5955,Surprising Failure,"Class 'fox' is visually distant from CIFAR-10 'deer', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
205,near,leopard,frog,-9.8639,-5.2929,4.5709,Surprising Failure,"Class 'leopard' is visually distant from CIFAR-10 'frog', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
163,near,pickup_truck,automobile,-9.8136,-5.2929,4.5207,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
274,near,motorcycle,truck,-9.736,-5.2929,4.443,Semantically Plausible,"Class 'motorcycle' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
566,near,fox,dog,-9.713,-5.2929,4.42,Semantically Plausible,"Class 'fox' shares strong visual/semantic features with CIFAR-10 'dog', causing the closed-set classifier to absorb the unknown with high logit response."
358,near,tractor,truck,-9.7033,-5.2929,4.4104,Semantically Plausible,"Class 'tractor' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
674,near,pickup_truck,automobile,-9.6826,-5.2929,4.3896,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
397,near,pickup_truck,truck,-9.6814,-5.2929,4.3884,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
524,near,pickup_truck,automobile,-9.6805,-5.2929,4.3876,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
385,near,wolf,dog,-9.6745,-5.2929,4.3816,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'dog', causing the closed-set classifier to absorb the unknown with high logit response."
388,near,pickup_truck,automobile,-9.66,-5.2929,4.367,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
636,near,wolf,dog,-9.6057,-5.2929,4.3128,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'dog', causing the closed-set classifier to absorb the unknown with high logit response."
1,near,wolf,cat,-9.583,-5.2929,4.2901,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
259,near,leopard,cat,-9.5806,-5.2929,4.2877,Semantically Plausible,"Class 'leopard' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
110,near,wolf,cat,-9.5733,-5.2929,4.2803,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
158,near,wolf,dog,-9.5306,-5.2929,4.2377,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'dog', causing the closed-set classifier to absorb the unknown with high logit response."
181,near,pickup_truck,automobile,-9.5179,-5.2929,4.2249,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
366,near,pickup_truck,automobile,-9.5097,-5.2929,4.2167,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
294,near,bus,horse,-9.4806,-5.2929,4.1876,Surprising Failure,"Class 'bus' is visually distant from CIFAR-10 'horse', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
144,near,leopard,deer,-9.4621,-5.2929,4.1692,Surprising Failure,"Class 'leopard' is visually distant from CIFAR-10 'deer', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
325,near,fox,airplane,-9.4465,-5.2929,4.1535,Surprising Failure,"Class 'fox' is visually distant from CIFAR-10 'airplane', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
342,near,pickup_truck,automobile,-9.4315,-5.2929,4.1386,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
183,near,wolf,horse,-9.4219,-5.2929,4.129,Surprising Failure,"Class 'wolf' is visually distant from CIFAR-10 'horse', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
21,near,tractor,truck,-9.3505,-5.2929,4.0576,Semantically Plausible,"Class 'tractor' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
185,near,bus,deer,-9.3446,-5.2929,4.0517,Surprising Failure,"Class 'bus' is visually distant from CIFAR-10 'deer', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
253,near,tractor,truck,-9.343,-5.2929,4.0501,Semantically Plausible,"Class 'tractor' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
36,near,bus,cat,-9.3152,-5.2929,4.0222,Surprising Failure,"Class 'bus' is visually distant from CIFAR-10 'cat', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
683,near,camel,deer,-9.2838,-5.2929,3.9909,Semantically Plausible,"Class 'camel' shares strong visual/semantic features with CIFAR-10 'deer', causing the closed-set classifier to absorb the unknown with high logit response."
132,near,fox,deer,-9.2766,-5.2929,3.9837,Surprising Failure,"Class 'fox' is visually distant from CIFAR-10 'deer', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
576,near,bus,horse,-9.2287,-5.2929,3.9358,Surprising Failure,"Class 'bus' is visually distant from CIFAR-10 'horse', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
480,near,leopard,cat,-9.2264,-5.2929,3.9335,Semantically Plausible,"Class 'leopard' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
520,near,pickup_truck,automobile,-9.2136,-5.2929,3.9206,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
489,near,fox,cat,-9.1975,-5.2929,3.9046,Semantically Plausible,"Class 'fox' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
216,near,wolf,cat,-9.1925,-5.2929,3.8995,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
554,near,wolf,dog,-9.1777,-5.2929,3.8847,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'dog', causing the closed-set classifier to absorb the unknown with high logit response."
738,near,tractor,truck,-9.1652,-5.2929,3.8723,Semantically Plausible,"Class 'tractor' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
184,near,wolf,dog,-9.1639,-5.2929,3.8709,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'dog', causing the closed-set classifier to absorb the unknown with high logit response."
231,near,leopard,cat,-9.1606,-5.2929,3.8677,Semantically Plausible,"Class 'leopard' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
267,near,wolf,dog,-9.157,-5.2929,3.864,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'dog', causing the closed-set classifier to absorb the unknown with high logit response."
465,near,bus,dog,-9.1434,-5.2929,3.8504,Surprising Failure,"Class 'bus' is visually distant from CIFAR-10 'dog', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
463,near,leopard,cat,-9.0946,-5.2929,3.8017,Semantically Plausible,"Class 'leopard' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
361,near,bus,deer,-9.0654,-5.2929,3.7724,Surprising Failure,"Class 'bus' is visually distant from CIFAR-10 'deer', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
620,near,fox,horse,-9.0386,-5.2929,3.7456,Surprising Failure,"Class 'fox' is visually distant from CIFAR-10 'horse', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
161,near,bus,horse,-9.0319,-5.2929,3.7389,Surprising Failure,"Class 'bus' is visually distant from CIFAR-10 'horse', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
753,near,pickup_truck,truck,-9.0286,-5.2929,3.7357,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
108,near,pickup_truck,automobile,-8.9935,-5.2929,3.7005,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
204,near,tractor,truck,-8.9682,-5.2929,3.6752,Semantically Plausible,"Class 'tractor' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
85,near,camel,horse,-8.9552,-5.2929,3.6623,Semantically Plausible,"Class 'camel' shares strong visual/semantic features with CIFAR-10 'horse', causing the closed-set classifier to absorb the unknown with high logit response."
334,near,motorcycle,airplane,-8.9548,-5.2929,3.6619,Semantically Plausible,"Class 'motorcycle' shares strong visual/semantic features with CIFAR-10 'airplane', causing the closed-set classifier to absorb the unknown with high logit response."
496,near,tractor,automobile,-8.9461,-5.2929,3.6531,Semantically Plausible,"Class 'tractor' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
775,near,pickup_truck,automobile,-8.9285,-5.2929,3.6356,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
331,near,bus,horse,-8.9135,-5.2929,3.6205,Surprising Failure,"Class 'bus' is visually distant from CIFAR-10 'horse', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
46,near,motorcycle,frog,-8.8764,-5.2929,3.5834,Surprising Failure,"Class 'motorcycle' is visually distant from CIFAR-10 'frog', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
258,near,wolf,dog,-8.8739,-5.2929,3.581,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'dog', causing the closed-set classifier to absorb the unknown with high logit response."
65,near,pickup_truck,automobile,-8.8705,-5.2929,3.5775,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
79,near,fox,dog,-8.8578,-5.2929,3.5648,Semantically Plausible,"Class 'fox' shares strong visual/semantic features with CIFAR-10 'dog', causing the closed-set classifier to absorb the unknown with high logit response."
565,near,fox,cat,-8.8447,-5.2929,3.5518,Semantically Plausible,"Class 'fox' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
319,near,bus,dog,-8.8435,-5.2929,3.5505,Surprising Failure,"Class 'bus' is visually distant from CIFAR-10 'dog', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
754,near,pickup_truck,automobile,-8.8164,-5.2929,3.5235,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
670,near,wolf,cat,-8.7755,-5.2929,3.4826,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
230,near,motorcycle,airplane,-8.7633,-5.2929,3.4704,Semantically Plausible,"Class 'motorcycle' shares strong visual/semantic features with CIFAR-10 'airplane', causing the closed-set classifier to absorb the unknown with high logit response."
549,near,motorcycle,airplane,-8.753,-5.2929,3.4601,Semantically Plausible,"Class 'motorcycle' shares strong visual/semantic features with CIFAR-10 'airplane', causing the closed-set classifier to absorb the unknown with high logit response."
347,near,wolf,dog,-8.7478,-5.2929,3.4549,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'dog', causing the closed-set classifier to absorb the unknown with high logit response."
538,near,leopard,frog,-8.7225,-5.2929,3.4295,Surprising Failure,"Class 'leopard' is visually distant from CIFAR-10 'frog', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
483,near,pickup_truck,automobile,-8.7049,-5.2929,3.412,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
720,near,tractor,truck,-8.6816,-5.2929,3.3887,Semantically Plausible,"Class 'tractor' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
792,near,pickup_truck,automobile,-8.6659,-5.2929,3.3729,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
788,near,pickup_truck,truck,-8.6486,-5.2929,3.3557,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
134,near,camel,dog,-8.6393,-5.2929,3.3464,Surprising Failure,"Class 'camel' is visually distant from CIFAR-10 'dog', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
641,near,pickup_truck,automobile,-8.6385,-5.2929,3.3456,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
256,near,tractor,truck,-8.6338,-5.2929,3.3409,Semantically Plausible,"Class 'tractor' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
433,near,bus,horse,-8.6267,-5.2929,3.3337,Surprising Failure,"Class 'bus' is visually distant from CIFAR-10 'horse', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
162,near,motorcycle,automobile,-8.6158,-5.2929,3.3228,Semantically Plausible,"Class 'motorcycle' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
175,near,wolf,dog,-8.6125,-5.2929,3.3196,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'dog', causing the closed-set classifier to absorb the unknown with high logit response."
42,near,bus,deer,-8.6104,-5.2929,3.3175,Surprising Failure,"Class 'bus' is visually distant from CIFAR-10 'deer', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
677,near,pickup_truck,automobile,-8.5767,-5.2929,3.2837,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
148,near,pickup_truck,truck,-8.5676,-5.2929,3.2746,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
220,near,bus,horse,-8.5608,-5.2929,3.2678,Surprising Failure,"Class 'bus' is visually distant from CIFAR-10 'horse', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
212,near,wolf,deer,-8.5361,-5.2929,3.2432,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'deer', causing the closed-set classifier to absorb the unknown with high logit response."
335,near,pickup_truck,automobile,-8.5352,-5.2929,3.2422,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
153,near,leopard,frog,-8.5324,-5.2929,3.2394,Surprising Failure,"Class 'leopard' is visually distant from CIFAR-10 'frog', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
727,near,bus,horse,-8.5308,-5.2929,3.2379,Surprising Failure,"Class 'bus' is visually distant from CIFAR-10 'horse', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
669,near,wolf,cat,-8.527,-5.2929,3.2341,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
736,near,leopard,cat,-8.4644,-5.2929,3.1714,Semantically Plausible,"Class 'leopard' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
98,near,pickup_truck,automobile,-8.4538,-5.2929,3.1608,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
271,near,wolf,cat,-8.4517,-5.2929,3.1587,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
668,near,fox,deer,-8.445,-5.2929,3.1521,Surprising Failure,"Class 'fox' is visually distant from CIFAR-10 'deer', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
449,near,motorcycle,automobile,-8.4391,-5.2929,3.1461,Semantically Plausible,"Class 'motorcycle' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
591,near,camel,deer,-8.4292,-5.2929,3.1363,Semantically Plausible,"Class 'camel' shares strong visual/semantic features with CIFAR-10 'deer', causing the closed-set classifier to absorb the unknown with high logit response."
573,near,wolf,dog,-8.4274,-5.2929,3.1345,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'dog', causing the closed-set classifier to absorb the unknown with high logit response."
136,near,wolf,cat,-8.4265,-5.2929,3.1336,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
381,near,camel,deer,-8.4231,-5.2929,3.1301,Semantically Plausible,"Class 'camel' shares strong visual/semantic features with CIFAR-10 'deer', causing the closed-set classifier to absorb the unknown with high logit response."
318,near,wolf,dog,-8.4203,-5.2929,3.1273,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'dog', causing the closed-set classifier to absorb the unknown with high logit response."
606,near,tractor,truck,-8.4024,-5.2929,3.1095,Semantically Plausible,"Class 'tractor' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
486,near,wolf,cat,-8.3962,-5.2929,3.1033,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
